원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
구로 아리랑'의 감독은(는) 누구인가요?	구로 아리랑'의 감독은(는) 박종원 (1960년)(이)에요.	구로 아리랑 감독은 누가 맡았나요?	구로 아리랑 감독은 박종원이 맡았어요.	박종원 (1960년)	감독	구로 아리랑	구로 아리랑'의 감독은(는) 박종원 (1960년)(이)에요.	구로 아리랑 감독은 박종원이 맡았어요.	268	"O,O,O"
캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	Captain America: The Winter Soldier를 제작한 감독은 누구에요?	캡틴 아메리카: 윈터 솔져를 제작한 감독은 앤서니 루소에요.	앤서니 루소	감독	캡틴 아메리카: 윈터 솔져	캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	Captain America: The Winter Soldier를 제작한 감독은 누구에요?	399	"O,O,O"
'여인파티'의 감독은(는) 누구인가요?	'여인파티'의 감독은(는) 서윤모(이)에요.	여인파티를 감독한 인물은 누구인가요?	여인파티 영화의 감독직을 맡은 인물은 서윤모에요	서윤모	감독	여인파티	'여인파티'의 감독은(는) 서윤모(이)에요.	여인파티 영화의 감독직을 맡은 인물은 서윤모에요	320	"O,O,O"
오디션 (1997년 영화)'의 감독은(는) 누구인가요?	오디션 (1997년 영화)'의 감독은(는) 이경민(이)에요.	오디션에서 감독을 누구 맡았나요?	오디션에서 감독을 맡은 인물은 이경민이에요	이경민	감독	오디션 (1997년 영화)	오디션 (1997년 영화)'의 감독은(는) 이경민(이)에요.	오디션에서 감독을 맡은 인물은 이경민이에요	472	"O,A,O"
'디워'의 감독은(는) 누구인가요?	'디워'의 감독은(는) 심형래(이)에요.	'디워' 감독의 이름은 무엇인가요?	'디워'는 심형래 감독의 작품이라고 해요	심형래	감독	디워	'디워'의 감독은(는) 누구인가요?	'디워' 감독의 이름은 무엇인가요?	379	"O,O,O"
센티미엔토: 사랑의 감각'의 감독은(는) 누구인가요?	센티미엔토: 사랑의 감각'의 감독은(는) 이자벨 코이젯트(이)에요.	센티미엔토: 사랑의 감각을 총 지휘한 사람의 이름은 무엇인가요?	센티미엔토: 사랑의 감각을 총 지휘한 사람의 이름은 이자벨 코이젯트예요.	이자벨 코이젯트	감독	센티미엔토: 사랑의 감각	센티미엔토: 사랑의 감각'의 감독은(는) 누구인가요?	센티미엔토: 사랑의 감각을 총 지휘한 사람의 이름은 무엇인가요?	541	"O,O,A"
'연풍연가'의 감독은(는) 누구인가요?	'연풍연가'의 감독은(는) 박대영(이)에요.	'연풍연가'는 누구에 의해서 만들어졌나요?	'연풍연가'는 박대영 감독 의해서 만들어졌어요	박대영	감독	연풍연가	'연풍연가'의 감독은(는) 누구인가요?	'연풍연가'는 누구에 의해서 만들어졌나요?	251	"O,A,A"
위자료 (영화)'의 감독은(는) 누구인가요?	위자료 (영화)'의 감독은(는) 김수용 (영화 감독)(이)에요.	영화 위자료는 어떤 감독이 제작했나요?	김수용 감독은 위자료를 제작했어요.	김수용 (영화 감독)	감독	위자료 (영화)	위자료 (영화)'의 감독은(는) 김수용 (영화 감독)(이)에요.	김수용 감독은 위자료를 제작했어요.	86	"O,O,O"
땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	땡삐 (영화)의 감독은 어떻게 되요?	이운철은 땡삐 (영화)의 감독이예요.	이운철	감독	땡삐 (영화)	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	이운철은 땡삐 (영화)의 감독이예요.	520	"O,O,O"
바보 (만화)'의 감독은(는) 누구인가요?	바보 (만화)'의 감독은(는) 김정권(이)에요.	누가 바보 (만화)'를 감독했나요?	김정권 감독이 바보 (만화)'를 만들었어요	김정권	감독	바보 (만화)	바보 (만화)'의 감독은(는) 김정권(이)에요.	김정권 감독이 바보 (만화)'를 만들었어요	112	"O,O,O"
'자유여자'의 감독은(는) 누구인가요?	'자유여자'의 감독은(는) 박호태(이)에요.	누가 자유여자의 감독인가요?	자유여자는 박호태가 감독이에요.	박호태	감독	자유여자	'자유여자'의 감독은(는) 누구인가요?	누가 자유여자의 감독인가요?	295	"O,O,O"
'댄스댄스'의 감독은(는) 누구인가요?	'댄스댄스'의 감독은(는) 문성욱(이)에요.	댄스댄스를 연출한 사람은 누구인가요?	댄스댄스의 연출자는 문성욱이에요.	문성욱	감독	댄스댄스	'댄스댄스'의 감독은(는) 문성욱(이)에요.	댄스댄스의 연출자는 문성욱이에요.	220	"A,O,O"
태풍을 일으킨 사나이'의 감독은(는) 누구인가요?	태풍을 일으킨 사나이'의 감독은(는) 이정호(이)에요.	태풍을 일으킨 사나이를 만든 사람은 누구인가요?	태풍을 일으킨 사나이를 만든 사람은 이정호에요.	이정호	감독	태풍을 일으킨 사나이	태풍을 일으킨 사나이'의 감독은(는) 누구인가요?	태풍을 일으킨 사나이를 만든 사람은 누구인가요?	555	"O,O,A"
바보 (만화)'의 감독은(는) 누구인가요?	바보 (만화)'의 감독은(는) 김정권(이)에요.	바보 (만화)'는 누구의 지휘아래 만들어졌나요?	바보 (만화)'는 김정권이 감독했어요	김정권	감독	바보 (만화)	바보 (만화)'의 감독은(는) 누구인가요?	바보 (만화)'는 누구의 지휘아래 만들어졌나요?	109	"A,O,O"
파라다이스 빌라'의 감독은(는) 누구인가요?	파라다이스 빌라'의 감독은(는) 박종원 (1960년)(이)에요.	파라다이스 빌라를 만든 사람은 누구인가요?	박종원(1960년)이 파라다이스 빌라를 감독했어요	박종원 (1960년)	감독	파라다이스 빌라	파라다이스 빌라'의 감독은(는) 누구인가요?	파라다이스 빌라를 만든 사람은 누구인가요?	269	"O,A,O"
증발 (영화)'의 감독은(는) 누구인가요?	증발 (영화)'의 감독은(는) 신상옥(이)에요.	증발 (영화)의 감독은 어떻게 되요?	신상옥은 증발(영화)의 감독이예요.	신상옥	감독	증발 (영화)	증발 (영화)'의 감독은(는) 누구인가요?	증발 (영화)의 감독은 어떻게 되요?	335	"O,X,A"
맨홀 (영화)'의 감독은(는) 누구인가요?	맨홀 (영화)'의 감독은(는) 신재영(이)에요.	맨홀(영화) 감독은 누구예요?	맨홀(영화)의 감독은 신재영이예요.	신재영	감독	맨홀 (영화)	맨홀 (영화)'의 감독은(는) 누구인가요?	맨홀(영화) 감독은 누구예요?	349	"O,O,O"
여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	2008년 영화 여기보다 어딘가에를 만든 사람은 누구인가요?	2008년 영화 여기보다 어딘가에를 만든 사람은 김상만이에요.	김상만	감독	여기보다 어딘가에 (2008년 영화)	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	2008년 영화 여기보다 어딘가에를 만든 사람은 누구인가요?	83	"O,A,O"
구로 아리랑'의 감독은(는) 누구인가요?	구로 아리랑'의 감독은(는) 박종원 (1960년)(이)에요.	구로 아리랑을 만든 감독의 이름은 무엇인가요?	구로 아리랑을 만든 감독의 이름은 박종원(1960년)이에요.	박종원 (1960년)	감독	구로 아리랑	구로 아리랑'의 감독은(는) 박종원 (1960년)(이)에요.	구로 아리랑을 만든 감독의 이름은 박종원(1960년)이에요.	266	"O,O,O"
죽으면 살리라'의 감독은(는) 누구인가요?	죽으면 살리라'의 감독은(는) 강대진(이)에요.	죽으면 살리라의 연출이 누구에요?	죽으면 살리라는 강대진이 만들었어요	강대진	감독	죽으면 살리라	죽으면 살리라'의 감독은(는) 누구인가요?	죽으면 살리라의 연출이 누구에요?	7	"O,O,A"
오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	오늘밤은 참으세요는 누가 만들었나요?	박종호 영화감독이 오늘밤은 참으세요를 연출했어요.	박종호 (영화 감독)	감독	오늘밤은 참으세요	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	박종호 영화감독이 오늘밤은 참으세요를 연출했어요.	276	"O,O,O"
스페이스 간담 V'의 감독은(는) 누구인가요?	스페이스 간담 V'의 감독은(는) 김청기(이)에요.	스페이스 간담v의 감독의 이름을 답해주세요.	스페이스 간담v를 만든 감독은 김청기에요.	김청기	감독	스페이스 간담 V	스페이스 간담 V'의 감독은(는) 김청기(이)에요.	스페이스 간담v를 만든 감독은 김청기에요.	124	"O,O,O"
'키드캅'의 감독은(는) 누구인가요?	'키드캅'의 감독은(는) 이준익(이)에요.	'키드캅'의 감독을 알려주세요.	이준익이라는 사람이 '키드캅'을 감독했어요.	이준익	감독	키드캅	'키드캅'의 감독은(는) 누구인가요?	'키드캅'의 감독을 알려주세요.	559	"A,O,O"
'무산일기'의 감독은(는) 누구인가요?	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기는 누가 만들었어요?	무산일기는 박정범이 만들었어요	박정범	감독	무산일기	'무산일기'의 감독은(는) 누구인가요?	무산일기는 누가 만들었어요?	261	"O,O,O"
'탈주'의 감독은(는) 누구인가요?	'탈주'의 감독은(는) 이송희일(이)에요.	'탈주'는 누가 총 지휘했나요?	이송희일이 '탈주'를 감독했어요.	이송희일	감독	탈주	'탈주'의 감독은(는) 누구인가요?	'탈주'는 누가 총 지휘했나요?	509	"O,A,O"
'혈투'의 감독은(는) 누구인가요?	'혈투'의 감독은(는) 박훈정(이)에요.	혈투는 어떤 감독이 연출했나요?	혈투의 연출은 박훈정이 맡았어요.	박훈정	감독	혈투	'혈투'의 감독은(는) 박훈정(이)에요.	혈투의 연출은 박훈정이 맡았어요.	298	"X,O,O"
천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	천 번을 불러도'를 만든사람은 누구인가요?	신성섭감독은 천 번을 불러도'을 만들었어요	신성섭	감독	천 번을 불러도	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	신성섭감독은 천 번을 불러도'을 만들었어요	340	"A,O,O"
더 게임 (2008년 영화)'의 감독은(는) 누구인가요?	더 게임 (2008년 영화)'의 감독은(는) 윤인호(이)에요.	더 게임을 누가 진두지휘 하셨나요?	더 게임을 진두지휘 한 사람은 윤인호예요	윤인호	감독	더 게임 (2008년 영화)	더 게임 (2008년 영화)'의 감독은(는) 누구인가요?	더 게임을 누가 진두지휘 하셨나요?	455	"O,A,O"
더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	더 웹툰: 예고살인'의 감독의 이름은 무엇인가요?	김용균 (1966년)은 더 웹툰: 예고살인'의 감독이라고 해요	김용균 (1966년)	감독	더 웹툰: 예고살인	더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'의 감독의 이름은 무엇인가요?	93	"O,O,O"
천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	천 번을 불러도' 는 누가 만들었나요?	천 번을 불러도'는 신성섭 감독이 만들었어요	신성섭	감독	천 번을 불러도	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	천 번을 불러도'는 신성섭 감독이 만들었어요	338	"O,O,O"
가족시네마 (2012년 영화)'의 감독은(는) 누구인가요?	"가족시네마 (2012년 영화)'의 감독은(는) 신수원, 홍지영, 이수연, 김성호(이)에요."	가족시네마 (2012년 영화)'의 감독의 이름은 무엇인가요?	"신수원, 홍지영, 이수연, 김성호는 가족시네마 (2012년 영화)'의 감독이라고 해요"	"신수원, 홍지영, 이수연, 김성호"	감독	가족시네마 (2012년 영화)	가족시네마 (2012년 영화)'의 감독은(는) 누구인가요?	가족시네마 (2012년 영화)'의 감독의 이름은 무엇인가요?	341	"O,O,O"
블레이드 러너'의 감독은(는) 누구인가요?	블레이드 러너'의 감독은(는) 리들리 스콧(이)에요.	블레이드 러너는 누가 연출했나요?	블레이드 러너는 리들리 스콧이 연출했어요.	리들리 스콧	감독	블레이드 러너	블레이드 러너'의 감독은(는) 누구인가요?	블레이드 러너는 누가 연출했나요?	193	"O,O,O"
복숭아나무 (영화)'의 감독은(는) 누구인가요?	복숭아나무 (영화)'의 감독은(는) 구혜선(이)에요.	복숭아나무를 제작한 감독은 누구인가요?	복숭아나무를 제작한 감독은 구혜선이에요.	구혜선	감독	복숭아나무 (영화)	복숭아나무 (영화)'의 감독은(는) 구혜선(이)에요.	복숭아나무를 제작한 감독은 구혜선이에요.	34	"O,O,O"
킹덤 오브 헤븐'의 감독은(는) 누구인가요?	킹덤 오브 헤븐'의 감독은(는) 리들리 스콧(이)에요.	킹덤 오브 헤븐은 누가 연출을 맡았나요?	킹덤 오브 헤븐의 연출을 맡은 사람은 리들리 스콧이에요.	리들리 스콧	감독	킹덤 오브 헤븐	킹덤 오브 헤븐'의 감독은(는) 누구인가요?	킹덤 오브 헤븐은 누가 연출을 맡았나요?	197	"O,O,O"
'무산일기'의 감독은(는) 누구인가요?	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기를 만든 사람은 누구에요?	무산일기를 만든 사람은 박정범이에요	박정범	감독	무산일기	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기를 만든 사람은 박정범이에요	264	"O,A,O"
'혈투'의 감독은(는) 누구인가요?	'혈투'의 감독은(는) 박훈정(이)에요.	혈투는 어떤 감독이 연출했나요?	혈투의 연출은 박훈정이 맡았어요.	박훈정	감독	혈투	'혈투'의 감독은(는) 누구인가요?	혈투는 어떤 감독이 연출했나요?	297	"O,O,O"
보릿고개 (영화)'의 감독은(는) 누구인가요?	보릿고개 (영화)'의 감독은(는) 박용준(이)에요.	보릿고개를 지휘해서 만든 사람은 누구인가요?	보릿고개를 지휘해서 만든 사람은 박용준이에요.	박용준	감독	보릿고개 (영화)	보릿고개 (영화)'의 감독은(는) 누구인가요?	보릿고개를 지휘해서 만든 사람은 누구인가요?	259	"A,O,O"
그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	그 남자의 책 198쪽'의 책임자는 누구인가요?	김정권이 그 남자의 책 198쪽'을 감독해요	김정권	감독	그 남자의 책 198쪽	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	김정권이 그 남자의 책 198쪽'을 감독해요	108	"X,O,X"
'학창보고서'의 감독은(는) 누구인가요?	'학창보고서'의 감독은(는) 이미례(이)에요.	학창보고서의 제작을 지휘한 사람은 누구인가요?	이미례 감독이 학창보고서의 제작을 지휘했어요.	이미례	감독	학창보고서	'학창보고서'의 감독은(는) 이미례(이)에요.	이미례 감독이 학창보고서의 제작을 지휘했어요.	492	"A,O,X"
뛰는 자 나는 자'의 감독은(는) 누구인가요?	뛰는 자 나는 자'의 감독은(는) 심재석(이)에요.	영화 뛰는 자 나는 자는 누가 만들었나요?	뛰는 자 나는 자라는 영화는 심재석이 만들었어요.	심재석	감독	뛰는 자 나는 자	뛰는 자 나는 자'의 감독은(는) 심재석(이)에요.	뛰는 자 나는 자라는 영화는 심재석이 만들었어요.	374	"O,O,O"
'혈투'의 감독은(는) 누구인가요?	'혈투'의 감독은(는) 박훈정(이)에요.	혈투에서 메가폰을 잡은 사람은 누군가요?	혈투에서 메가폰을 잡은 사람은 박훈정이에요.	박훈정	감독	혈투	'혈투'의 감독은(는) 박훈정(이)에요.	혈투에서 메가폰을 잡은 사람은 박훈정이에요.	300	"O,O,O"
도둑맞곤 못살아'의 감독은(는) 누구인가요?	도둑맞곤 못살아'의 감독은(는) 임경수(이)에요.	도둑맞곤 못살아'를 지휘하며 촬영한 사람은 누구인가요?	도둑맞곤 못살아'를 지휘하며 촬영한 사람은 임경수에요.	임경수	감독	도둑맞곤 못살아	도둑맞곤 못살아'의 감독은(는) 임경수(이)에요.	도둑맞곤 못살아'를 지휘하며 촬영한 사람은 임경수에요.	578	"A,O,O"
'국제경찰'의 감독은(는) 누구인가요?	'국제경찰'의 감독은(는) 고영남(이)에요.	국제경찰의 감독을 담당한 사람은 누구인가요?	국제경찰은 고영남이 감독을 했어요.	고영남	감독	국제경찰	'국제경찰'의 감독은(는) 누구인가요?	국제경찰의 감독을 담당한 사람은 누구인가요?	17	"O,O,O"
'만신'의 감독은(는) 누구인가요?	'만신'의 감독은(는) 박찬경(이)에요.	만신은 어떤 감독의 작품인가요?	만신은 박찬경 감독이 찍었어요.	박찬경	감독	만신	'만신'의 감독은(는) 누구인가요?	만신은 어떤 감독의 작품인가요?	277	"O,O,O"
'암살게임'의 감독은(는) 누구인가요?	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	영화 암살게임 감독이 누군지 아시는지요?	영화 암살게임의 감독은 어니 바바라쉬라네요	어니 바바라쉬	감독	암살게임	'암살게임'의 감독은(는) 누구인가요?	영화 암살게임 감독이 누군지 아시는지요?	405	"O,O,O"
사는 것 산다는 것 살아간다는 것'의 감독은(는) 누구인가요?	사는 것 산다는 것 살아간다는 것'의 감독은(는) 류진호(이)에요.	사는 것 산다는 것 살아간다는 것의 감독의 이름을 적어주세요.	사는 것 산다는 것 살아간다는 것의 감독 이름은 류진호에요.	류진호	감독	사는 것 산다는 것 살아간다는 것	사는 것 산다는 것 살아간다는 것'의 감독은(는) 누구인가요?	사는 것 산다는 것 살아간다는 것의 감독의 이름을 적어주세요.	189	"X,O,O"
남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화은 누가 연출했나요?	남과 북 (1984년 영화)의 연출자는 김기이에요.	김기	감독	남과 북 (1984년 영화)	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화)의 연출자는 김기이에요.	54	"O,X,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 오오타니 켄타로(이)에요.	어떤 사람이 NANA의 감독인가요?	오오타니 켄타로는 NANA의 감독이에요.	오오타니 켄타로	감독	NANA	'NANA'의 감독은(는) 누구인가요?	어떤 사람이 NANA의 감독인가요?	423	"O,O,O"
신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 누구인가요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 마사유키(이)에요.	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생은 누가 감독했나요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생은 마사유키라는 사람이 감독했어요.	마사유키	감독	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 누구인가요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생은 누가 감독했나요?	209	"O,O,O"
'기생령'의 감독은(는) 누구인가요?	'기생령'의 감독은(는) 고석진(이)에요.	기생령은 누가 감독했나요?	고석진은 기생령의 감독이에요.	고석진	감독	기생령	'기생령'의 감독은(는) 누구인가요?	기생령은 누가 감독했나요?	13	"O,O,O"
킹덤 오브 헤븐'의 감독은(는) 누구인가요?	킹덤 오브 헤븐'의 감독은(는) 리들리 스콧(이)에요.	킹덤 오브 헤븐은 누가 연출을 맡았나요?	킹덤 오브 헤븐의 연출을 맡은 사람은 리들리 스콧이에요.	리들리 스콧	감독	킹덤 오브 헤븐	킹덤 오브 헤븐'의 감독은(는) 리들리 스콧(이)에요.	킹덤 오브 헤븐의 연출을 맡은 사람은 리들리 스콧이에요.	198	"O,O,O"
레나 (영화)'의 감독은(는) 누구인가요?	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)는 누구의 작품인가요?	레나(영화)는 감독 김도원의 작품이에요.	김도원	감독	레나 (영화)	레나 (영화)'의 감독은(는) 누구인가요?	레나(영화)는 누구의 작품인가요?	63	"O,X,A"
'댄스댄스'의 감독은(는) 누구인가요?	'댄스댄스'의 감독은(는) 문성욱(이)에요.	댄스댄스를 연출한 사람은 누구인가요?	댄스댄스의 연출자는 문성욱이에요.	문성욱	감독	댄스댄스	'댄스댄스'의 감독은(는) 누구인가요?	댄스댄스를 연출한 사람은 누구인가요?	219	"O,A,O"
미스 김'의 감독은(는) 누구인가요?	미스 김'의 감독은(는) 박호태(이)에요.	미스 김'은 누가 감독을 했나요?	미스 김'은 박호태가 감독을 맡았어요.	박호태	감독	미스 김	미스 김'의 감독은(는) 박호태(이)에요.	미스 김'은 박호태가 감독을 맡았어요.	290	"O,O,O"
김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	김두한과 서대문 1번지는 누가 찍었어요?	김두한과 서대문 1번지를 찍은 사람은 이혁수에요.	이혁수	감독	김두한과 서대문 1번지	김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지는 누가 찍었어요?	565	"A,X,A"
크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	누가 크리스마스에 기적을 만날 확률을 연출했나요?	크리스마스에 기적을 만날 확률을 연출한 사람은 곤 사토시에요.	곤 사토시	감독	크리스마스에 기적을 만날 확률	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	크리스마스에 기적을 만날 확률을 연출한 사람은 곤 사토시에요.	22	"O,O,O"
내 첫사랑을 너에게 바친다'의 감독은(는) 누구인가요?	내 첫사랑을 너에게 바친다'의 감독은(는) 신조 타케히코(이)에요.	"'내 첫사랑을 너에게 바친다""를 만든 사람은 누구인가요?"	"'내 첫사랑을 너에게 바친다""라는 신조 타케히코가 만든 영화에요."	신조 타케히코	감독	내 첫사랑을 너에게 바친다	내 첫사랑을 너에게 바친다'의 감독은(는) 신조 타케히코(이)에요.	"'내 첫사랑을 너에게 바친다""라는 신조 타케히코가 만든 영화에요."	360	"O,X,O"
태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자는 누가 지휘해서 만들었나요?	태양을 훔친 여자를 지휘해서 만든 사람은 이원세에요.	이원세	감독	태양을 훔친 여자	태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자는 누가 지휘해서 만들었나요?	527	"A,O,O"
이노센스 (애니메이션 영화)'의 감독은(는) 누구인가요?	이노센스 (애니메이션 영화)'의 감독은(는) 오시이 마모루(이)에요.	이노센스를 찍은 사람이 누구예요?	오시이 마모루가 이노센스의 감독이에요.	오시이 마모루	감독	이노센스 (애니메이션 영화)	이노센스 (애니메이션 영화)'의 감독은(는) 누구인가요?	이노센스를 찍은 사람이 누구예요?	417	"A,A,X"
대남 (영화)'의 감독은(는) 누구인가요?	대남 (영화)'의 감독은(는) 김시현(이)에요.	대남을 만든 사람은 누구인가요?	대남을 만든 사람은 김시현이에요.	김시현	감독	대남 (영화)	대남 (영화)'의 감독은(는) 누구인가요?	대남을 만든 사람은 누구인가요?	91	"O,O,O"
처녀의 성'의 감독은(는) 누구인가요?	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성의 제작자는 누구인가요?	처녀의 성의 제작자는 문여송이에요.	문여송	감독	처녀의 성	처녀의 성'의 감독은(는) 누구인가요?	처녀의 성의 제작자는 누구인가요?	221	"A,O,O"
크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	누가 크리스마스에 기적을 만날 확률을 연출했나요?	크리스마스에 기적을 만날 확률을 연출한 사람은 곤 사토시에요.	곤 사토시	감독	크리스마스에 기적을 만날 확률	크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	누가 크리스마스에 기적을 만날 확률을 연출했나요?	21	"O,O,A"
북경반점 (영화)'의 감독은(는) 누구인가요?	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	어떤 사람이 북경반점 (영화)의 감독인가요?	김의석 감독이 북경반점 (영화)의 감독이에요.	김의석	감독	북경반점 (영화)	북경반점 (영화)'의 감독은(는) 누구인가요?	어떤 사람이 북경반점 (영화)의 감독인가요?	103	"O,O,O"
젊은 시계탑'의 감독은(는) 누구인가요?	젊은 시계탑'의 감독은(는) 이형표(이)에요.	젊은 시계탑을 만든 사람은 누구인가요?	젋은 시계탑을 만든 사람은 이형표 감독이에요.	이형표	감독	젊은 시계탑	젊은 시계탑'의 감독은(는) 누구인가요?	젊은 시계탑을 만든 사람은 누구인가요?	571	"O,O,O"
아홉살 인생 (영화)'의 감독은(는) 누구인가요?	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	아홉살 인생 (영화)은 누가 감독인가요?	윤인호가 아홉살 인생 (영화)의 감독이에요.	윤인호	감독	아홉살 인생 (영화)	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	윤인호가 아홉살 인생 (영화)의 감독이에요.	458	"O,O,O"
내 사랑 싸가지 (영화)'의 감독은(는) 누구인가요?	내 사랑 싸가지 (영화)'의 감독은(는) 신동엽 (영화감독)(이)에요.	내 사랑 싸가지는 누가 감독했나요?	신동엽이 내 사랑 싸가지를 감독했어요.	신동엽 (영화감독)	감독	내 사랑 싸가지 (영화)	내 사랑 싸가지 (영화)'의 감독은(는) 신동엽 (영화감독)(이)에요.	신동엽이 내 사랑 싸가지를 감독했어요.	330	"O,O,O"
잃어버린 너'의 감독은(는) 누구인가요?	잃어버린 너'의 감독은(는) 원정수(이)에요.	잃어버린 너는 어느 감독이 만들었나요?	원정수 감독이 잃어버린 너를 만들었어요.	원정수	감독	잃어버린 너	잃어버린 너'의 감독은(는) 원정수(이)에요.	원정수 감독이 잃어버린 너를 만들었어요.	444	"O,O,O"
미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	2014년 영화 미스 줄리를 찍은 감독 알아요?	리브 울만이 2014년 영화 미스 줄리를 찍었어요.	리브 울만	감독	미스 줄리 (2014년 영화)	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	리브 울만이 2014년 영화 미스 줄리를 찍었어요.	204	"A,A,O"
보릿고개 (영화)'의 감독은(는) 누구인가요?	보릿고개 (영화)'의 감독은(는) 박용준(이)에요.	보릿고개를 지휘해서 만든 사람은 누구인가요?	보릿고개를 지휘해서 만든 사람은 박용준이에요.	박용준	감독	보릿고개 (영화)	보릿고개 (영화)'의 감독은(는) 박용준(이)에요.	보릿고개를 지휘해서 만든 사람은 박용준이에요.	260	"A,O,A"
파라다이스 빌라'의 감독은(는) 누구인가요?	파라다이스 빌라'의 감독은(는) 박종원 (1960년)(이)에요.	파라다이스 빌라를 감독한 사람의 이름은 무엇인가요?	파라다이스 빌라 감독을 한 사람은 박종원(1960년)이에요	박종원 (1960년)	감독	파라다이스 빌라	파라다이스 빌라'의 감독은(는) 누구인가요?	파라다이스 빌라를 감독한 사람의 이름은 무엇인가요?	271	"O,O,O"
현기증 (2014년 영화)'의 감독은(는) 누구인가요?	현기증 (2014년 영화)'의 감독은(는) 이돈구(이)에요.	현기증(2014년 영화)은 누가 지휘해서 만들었나요?	현기증(2014년 영화)을 지휘해서 만든 사람은 이돈구에요.	이돈구	감독	현기증 (2014년 영화)	현기증 (2014년 영화)'의 감독은(는) 누구인가요?	현기증(2014년 영화)은 누가 지휘해서 만들었나요?	487	"A,X,O"
'밍크코트'의 감독은(는) 누구인가요?	"'밍크코트'의 감독은(는) 신아가, 이상철(이)에요."	영화 '밍크코트'의 감독은 누구일까요?	"'밍크코트'는(은) 신아가, 이상철이 제작했어요."	"신아가, 이상철"	감독	밍크코트	'밍크코트'의 감독은(는) 누구인가요?	영화 '밍크코트'의 감독은 누구일까요?	347	"O,O,O"
