원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'경기대학교'의 표어은(는) 무엇인가요?	'경기대학교'의 표어은(는) 진·성·애(이)에요.	경기대학교의 표어는 무엇이예요?	경기대학교의 표어는 진.성.애예요.	진·성·애	표어	경기대학교	399	'경기대학교'의 표어은(는) 진·성·애(이)에요.	경기대학교의 표어는 진.성.애예요.	3150	"O,O,O"
'강순'의 최종계급은(는) 무엇인가요?	'강순'의 최종계급은(는) 관직:오위도총부 도총관(이)에요.	강순의 마지막 계급이 무엇인가요?	오위도총부 도총관이 강순의 마지막 계급이에요.	관직:오위도총부 도총관	최종계급	강순	127	'강순'의 최종계급은(는) 무엇인가요?	강순의 마지막 계급이 무엇인가요?	999	"O,O,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 고섬시티(이)에요.	뉴욕은 어떤 별명을 가지나요?	뉴욕의 또 다른 이름은 고섬시티에요.	고섬시티	별명	뉴욕	217	'뉴욕'의 별명은(는) 고섬시티(이)에요.	뉴욕의 또 다른 이름은 고섬시티에요.	1708	"O,O,O"
'나이아가라온더레이크'의 면적은(는) 얼마나 되나요?	'나이아가라온더레이크'의 면적은(는) 132.83km^2(이)에요.	'나이아가라온더레이크'의 넓이는 얼마인가요?	'나이아가라온더레이크'의 넓이는 132.83km^2를 차지해요.	132.83km^2	면적	나이아가라온더레이크	202	'나이아가라온더레이크'의 면적은(는) 132.83km^2(이)에요.	'나이아가라온더레이크'의 넓이는 132.83km^2를 차지해요.	1590	"O,O,O"
'그리고리_마르굴리스'은(는) 수상내역(으)로 무엇이 있나요?	그리고리_마르굴리스'은(는) 수상내역(으)로 울프상이 있어요.	그리고리 마르굴리스가 수상한 상에는 무엇이 있나요?	그리고리 마르굴리스가 수상한 상에는 울프상이 포함돼요.	울프상	수상내역	그리고리_마르굴리스	297	그리고리_마르굴리스'은(는) 수상내역(으)로 울프상이 있어요.	그리고리 마르굴리스가 수상한 상에는 울프상이 포함돼요.	2346	"O,O,O"
김두종_(의학자)'은(는) 수상내역으로 무엇이 있나요?	김두종_(의학자)'은(는) 수상내역으로 대한민국_학술원이(가) 있어요.	김두종은 어떤 상을 탔나요?	김두종은 대한민국 학술원 상을 탔어요.	대한민국_학술원	수상내역	김두종_(의학자)	408	김두종_(의학자)'은(는) 수상내역으로 대한민국_학술원이(가) 있어요.	김두종은 대한민국 학술원 상을 탔어요.	3218	"O,O,O"
'가이_칼튼'은(는) 기타이력(으)로 무엇이 있나요?	가이_칼튼'은(는) 기타이력(으)로 퀘벡 주지사이(가) 있어요.	가이 칼튼이라는 사람은 어떠한 기타이력을 가지고 있나요?	가이 칼튼은 퀘벡 주지사라는 기타이력을 가지고 있어요.	퀘벡 주지사	기타이력	가이_칼튼	61	'가이_칼튼'은(는) 기타이력(으)로 무엇이 있나요?	가이 칼튼이라는 사람은 어떠한 기타이력을 가지고 있나요?	485	"O,O,O"
'강근호'의 직업은(는) 무엇인가요?	'강근호'의 직업은(는) 군인(이)에요.	강근호는 무슨 직업을 가지고 있나요?	강근호는 군인이라는 직업을 가졌어요.	군인	직업	강근호	101	'강근호'의 직업은(는) 무엇인가요?	강근호는 무슨 직업을 가지고 있나요?	805	"O,O,O"
강원대학교'은 어느 도시에 있나요?	강원대학교'은(는) 춘천시에 있어요.	어느 도시에 강원대학교가 위치하고 있나요?	춘천시에 강원대학교가 위치하고 있어요.	춘천시	도시	강원대학교	354	강원대학교'은(는) 춘천시에 있어요.	춘천시에 강원대학교가 위치하고 있어요.	2800	"O,O,O"
'게이오기주쿠_대학'의 총장은(는) 누구인가요?	'게이오기주쿠_대학'의 총장은(는) 세이케_아쓰시(이)에요.	게이오기주쿠 대학의 총장은 누구예요?	게이오기주쿠 대학의 총장은 세이케 아쓰시예요.	세이케_아쓰시	총장	게이오기주쿠_대학	385	'게이오기주쿠_대학'의 총장은(는) 누구인가요?	게이오기주쿠 대학의 총장은 누구예요?	3037	"O,O,O"
'1988년_동계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1988년_동계_올림픽'의 참가선수은(는) 1423명(이)에요.	'1988년_동계_올림픽'의 참가선수는 몇 명인가요?	'1988년_동계_올림픽'은 1423명의 선수가 참여했어요.	1423명	참가선수	1988년_동계_올림픽	186	'1988년_동계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1988년_동계_올림픽'의 참가선수는 몇 명인가요?	1465	"O,O,O"
건양대학교'의 설립 시기는 언제인가요?	건양대학교'의 설립 시기는 1990년이에요.	건양대학교는 언제 세워졌나요?	1990년에 건양대학교는 설립되었어요.	1990	설립 시기	건양대학교	375	건양대학교'의 설립 시기는 1990년이에요.	1990년에 건양대학교는 설립되었어요.	2966	"O,O,O"
'노태원'의 직업은(는) 무엇인가요?	'노태원'의 직업은(는) 물리학자(이)에요.	노태원이 하는 일은 무엇이에요?	노태원은 물리학을 연구하는 일을 해요.	물리학자	직업	노태원	314	'노태원'의 직업은(는) 물리학자(이)에요.	노태원은 물리학을 연구하는 일을 해요.	2480	"O,O,O"
'겐다_미노루'은(는) 수상내역(으)로 무엇이 있나요?	겐다_미노루'은(는) 수상내역(으)로 욱일장이(가) 있어요.	겐다 미노루가 받은 상은 무엇이 있나요?	겐다 미노루는 욱일장이라는 상을 받았어요	욱일장	수상내역	겐다_미노루	94	겐다_미노루'은(는) 수상내역(으)로 욱일장이(가) 있어요.	겐다 미노루는 욱일장이라는 상을 받았어요	746	"O,O,O"
강남대학교'의 설립 시기는 언제인가요?	강남대학교'의 설립 시기는 1946년이에요.	강남대학교는 언제 설립되었나요?	강남대학교는 1946년에 세워졌어요.	1946	설립 시기	강남대학교	372	강남대학교'의 설립 시기는 1946년이에요.	강남대학교는 1946년에 세워졌어요.	2942	"O,O,O"
게르하르트_호흐실트'의 출생지는 어디인가요?	게르하르트_호흐실트'의 출생지는 독일_제국(이)에요.	게르하르트 호흐실트가 태어난 곳은 어디인가요?	게르하르트 호흐실트가 태어난 곳은 독일 제국이에요.	독일_제국	출생지	게르하르트_호흐실트	322	게르하르트_호흐실트'의 출생지는 독일_제국(이)에요.	게르하르트 호흐실트가 태어난 곳은 독일 제국이에요.	2538	"O,O,O"
'강근호'의 직업은(는) 무엇인가요?	'강근호'의 직업은(는) 군인(이)에요.	강근호는 무슨 직업을 가지고 있나요?	강근호는 군인이라는 직업을 가졌어요.	군인	직업	강근호	101	'강근호'의 직업은(는) 군인(이)에요.	강근호는 군인이라는 직업을 가졌어요.	806	"O,O,O"
'2002년_동계_올림픽'의 모토은(는) 무엇인가요?	'2002년_동계_올림픽'의 모토은(는) 마음 속의 불을 밝혀라(이)에요.	2002년 동계 올림픽은 무엇을 모토로 했나요?	2002년 동계 올림픽은 마음 속의 불을 밝혀라가 모토예요.	마음 속의 불을 밝혀라	모토	2002년_동계_올림픽	166	'2002년_동계_올림픽'의 모토은(는) 무엇인가요?	2002년 동계 올림픽은 무엇을 모토로 했나요?	1307	"O,O,O"
'김빛내리'의 연구분야은(는) 무엇인가요?	'김빛내리'의 연구분야은(는) 생화학(이)에요.	김빛내리는 무엇을 연구하였나요?	김빛내리는 생화학을 연구 하였어요	생화학	연구분야	김빛내리	309	'김빛내리'의 연구분야은(는) 무엇인가요?	김빛내리는 무엇을 연구하였나요?	2443	"O,O,A"
나카야마_다다시'은(는) 어디 소속인가요?	나카야마_다다시' 오사카_대학 소속이에요.	어디 소속의 나카야마_다다시인가요?	오사카_대학 소속의 나카야마_다다시이에요.	오사카_대학	소속	나카야마_다다시	285	나카야마_다다시' 오사카_대학 소속이에요.	오사카_대학 소속의 나카야마_다다시이에요.	2246	"O,X,O"
강원대학교'은(는) 어느 나라에 있나요?	강원대학교'은(는) 대한민국에 있어요.	강원대학교의 나라는 어디인가요?	강원대학교는 대한민국에 있어요	대한민국	국가	강원대학교	346	강원대학교'은(는) 어느 나라에 있나요?	강원대학교의 나라는 어디인가요?	2735	"O,O,X"
'무라카미_하루키'의 유명한 작품은(는) 무엇인가요?	'무라카미_하루키'의 유명한 작품은(는) 1(이)에요.	'무라카미 하루키'의 작품 중 대표작이라고 불릴만 한 작품은 무엇인가요?	'무라카미 하루키'의 작품 중 1은 '무라카미 하루키'의 대표작이라 불릴 만한 작품이에요.	1	유명한 작품	무라카미_하루키	415	'무라카미_하루키'의 유명한 작품은(는) 1(이)에요.	'무라카미 하루키'의 작품 중 1은 '무라카미 하루키'의 대표작이라 불릴 만한 작품이에요.	3278	"O,A,A"
'게르트_팔팅스'의 연구분야은(는) 무엇인가요?	'게르트_팔팅스'의 연구분야은(는) 수학(이)에요.	게르트 팔팅스는 어느 분야를 연구하는 학자일까요?	게르트 팔팅스는 수학 학자에요.	수학	연구분야	게르트_팔팅스	301	'게르트_팔팅스'의 연구분야은(는) 무엇인가요?	게르트 팔팅스는 어느 분야를 연구하는 학자일까요?	2375	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 아일랜드(이)에요.	'가이 칼튼'이 태어난 곳은 어디인가요?	'가이 칼튼'이 태어난 곳은 아일랜드예요.	아일랜드	출생지	가이_칼튼	131	'가이_칼튼'의 출생지은(는) 아일랜드(이)에요.	'가이 칼튼'이 태어난 곳은 아일랜드예요.	1026	"O,O,O"
'남광우'의 유명한 작품은(는) 무엇인가요?	'남광우'의 유명한 작품은(는) 1973(이)에요.	남광우의 작품 중 유명한 것은 무엇인가요?	남광우의 작품 중 1973이 유명해요.	1973	유명한 작품	남광우	416	'남광우'의 유명한 작품은(는) 1973(이)에요.	남광우의 작품 중 1973이 유명해요.	3286	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 대한제국에서 복무했어요.	강근호가 복무한 곳은 어디인가요?	강근호가 복무한 곳은 대한제국이에요.	대한제국	복무	강근호	75	강근호'은(는) 어디에서 복무했나요?	강근호가 복무한 곳은 어디인가요?	593	"O,O,O"
강남대학교'은(는) 어느 나라에 있나요?	강남대학교'은(는) 대한민국에 있어요.	강남대학교는 어느 국가에 있나요?	강남대학교는 대한민국에 위치해 있어요.	대한민국	국가	강남대학교	344	강남대학교'은(는) 대한민국에 있어요.	강남대학교는 대한민국에 위치해 있어요.	2716	"O,O,O"
'강순'은(는) 기타이력(으)로 무엇이 있나요?	"강순'은(는) 기타이력(으)로 원종공신 2등, 정충출기포의적개공신 1등, 신천부원군, 의정부영의정, 시호는 장민이(가) 있어요."	강순의 기타이력은 무엇인가요?	"강순의 기타이력을 살펴보면 원종공신 2등, 정충출기포의적개공신 1등, 신천부원군, 의정부영의정을 하였고 시호는 장민이라고 해요."	"원종공신 2등, 정충출기포의적개공신 1등, 신천부원군, 의정부영의정, 시호는 장민"	기타이력	강순	66	'강순'은(는) 기타이력(으)로 무엇이 있나요?	강순의 기타이력은 무엇인가요?	525	"O,O,O"
가족시네마_(2012년_영화)'은(는) 어느 나라 영화인가요?	가족시네마_(2012년_영화)'은(는) 대한민국의 영화예요.	가족시네마라는 영화는 어느 나라가 만들었나요?	가족시네마라는 영화는 대한민국이 만들었어요.	대한민국	국가	가족시네마_(2012년_영화)	25	가족시네마_(2012년_영화)'은(는) 어느 나라 영화인가요?	가족시네마라는 영화는 어느 나라가 만들었나요?	197	"O,O,A"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 잠들지 않는 도시(이)에요.	뉴욕의 다른 이름은 무엇인가요?	뉴욕의 다른 이름은 잠들지 않는 도시에요.	잠들지 않는 도시	별명	뉴욕	220	'뉴욕'의 별명은(는) 잠들지 않는 도시(이)에요.	뉴욕의 다른 이름은 잠들지 않는 도시에요.	1734	"O,O,O"
'각설이_품바_타령'의 등급은(는) 무엇인가요?	각설이_품바_타령'의 등급은(는) 12세 이용가(이)에요.	'각설이_품바_타령'은 무슨 등급인가요?	'각설이_품바_타령'을 볼 수 있는 등급은 12세 부터에요.	12세 이용가	등급	각설이_품바_타령	38	각설이_품바_타령'의 등급은(는) 12세 이용가(이)에요.	'각설이_품바_타령'을 볼 수 있는 등급은 12세 부터에요.	300	"O,O,O"
서병후'의 출생지는 어디인가요?	서병후'의 출생지는 경성부(이)에요.	서병후는 어디서 태어났나요?	서병후는 경성부에서 태어났어요.	경성부	출생지	서병후	447	서병후'의 출생지는 경성부(이)에요.	서병후는 경성부에서 태어났어요.	3534	"O,O,O"
'겐다_미노루'은(는) 수상내역(으)로 무엇이 있나요?	겐다_미노루'은(는) 수상내역(으)로 서보장이(가) 있어요.	겐다 미노루의 서훈 내역은 무엇이 있나요?	겐다 미노루의 서훈 내역으로 서보장이 있어요.	서보장	수상내역	겐다_미노루	93	'겐다_미노루'은(는) 수상내역(으)로 무엇이 있나요?	겐다 미노루의 서훈 내역은 무엇이 있나요?	741	"A,X,O"
'1996년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1996년_하계_올림픽'의 참가선수은(는) 10320명(이)에요.	1996년 하계 올림픽은 몇 명의 선수가 참가했나요?	1996년 하계 올림픽은 10320명의 선수가 참가했어요.	10320명	참가선수	1996년_하계_올림픽	181	'1996년_하계_올림픽'의 참가선수은(는) 10320명(이)에요.	1996년 하계 올림픽은 10320명의 선수가 참가했어요.	1422	"O,O,O"
'2012년_하계_올림픽'의 개회선언은(는) 누가 했나요?	2012년_하계_올림픽'의 개회선언은(는) 엘리자베스_2세이(가) 했어요.	누가 2012년 하계 올림픽의 개회선언을 했나요?	엘리자베스 2세가 2012년 하계 올림픽의 개회선언을 했어요.	엘리자베스_2세	개회선언	2012년_하계_올림픽	147	'2012년_하계_올림픽'의 개회선언은(는) 누가 했나요?	누가 2012년 하계 올림픽의 개회선언을 했나요?	1153	"O,O,O"
'이환경_(작가)'의 종교은(는) 무엇인가요?	'이환경_(작가)'의 종교은(는) 개신교(이)에요.	이환경 작가가 믿는 종교는 무엇인가요?	이환경 작가가 믿는 종교는 개신교에요.	개신교	종교	이환경_(작가)	436	'이환경_(작가)'의 종교은(는) 개신교(이)에요.	이환경 작가가 믿는 종교는 개신교에요.	3444	"O,O,O"
'댄스댄스'의 주연은(는) 누구인가요?	'댄스댄스'의 주연은(는) 주진모(이)에요.	누가 '댄스댄스'의 주연을 맡았나요?	주진모가 '댄스댄스'의 주연이에요	주진모	주연	댄스댄스	60	'댄스댄스'의 주연은(는) 주진모(이)에요.	주진모가 '댄스댄스'의 주연이에요	476	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 티론_주(이)에요.	카이 칼튼의 생의 시작은 어디서 부터인가요?	티론 주에서 가이 칼튼은 생을 시작해요.	티론_주	출생지	가이_칼튼	133	가이_칼튼'의 출생지은(는) 어디인가요?	카이 칼튼의 생의 시작은 어디서 부터인가요?	1047	"A,X,A"
'고든_무어'은(는) 수상내역(으)로 무엇이 있나요?	고든_무어'은(는) 수상내역(으)로 대통령_자유_훈장이 있어요.	고든 무어가 받은 상에는 어떤 상이 있나요?	고든 무어가 받은 상에는 대통령 자유 훈장이 있어요.	대통령_자유_훈장	수상내역	고든_무어	295	고든_무어'은(는) 수상내역(으)로 대통령_자유_훈장이 있어요.	고든 무어가 받은 상에는 대통령 자유 훈장이 있어요.	2328	"O,O,O"
'가족시네마_(2012년_영화)'의 등급은(는) 무엇인가요?	'가족시네마_(2012년_영화)'의 등급은(는) 15세 이용가(이)에요.	가족시네마 (2012년 영화)의 등급은 무엇이예요?	가족시네마 (2012년 영화)의 등급은 15세 이용가예요.	15세 이용가	등급	가족시네마_(2012년_영화)	36	'가족시네마_(2012년_영화)'의 등급은(는) 무엇인가요?	가족시네마 (2012년 영화)의 등급은 무엇이예요?	281	"O,O,O"
'강남대학교'의 마스코트은(는) 무엇인가요?	'강남대학교'의 마스코트은(는) 백양(이)에요.	강남대학교를 상징하는 동물은 무엇인가요?	강남대학교의 상징하는 동물은 백양이에요.	백양	마스코트	강남대학교	363	'강남대학교'의 마스코트은(는) 백양(이)에요.	강남대학교의 상징하는 동물은 백양이에요.	2870	"O,O,O"
류선우'의 출생지는 어디인가요?	류선우'의 출생지는 경상북도(이)에요.	어디가 류선우의 출생진가요?	경상북도는 류선우의 출생지예요.	경상북도	출생지	류선우	446	류선우'의 출생지는 경상북도(이)에요.	경상북도는 류선우의 출생지예요.	3528	"O,O,O"
'뉴어크_(뉴저지_주)'의 면적은(는) 얼마나 되나요?	'뉴어크_(뉴저지_주)'의 면적은(는) 67.617km^2(이)에요.	뉴어크 뉴저지 주의 땅은 어느 정도인가요?	뉴어크 뉴저지 주의 땅의 넓이는 67.617km2이에요.	67.617km^2	면적	뉴어크_(뉴저지_주)	205	'뉴어크_(뉴저지_주)'의 면적은(는) 얼마나 되나요?	뉴어크 뉴저지 주의 땅은 어느 정도인가요?	1619	"A,O,A"
단_셰흐트만'은(는) 어디 소속인가요?	단_셰흐트만' 아이오와_주립_대학교 소속이에요.	단 세흐트만은 어디에 소속되어 있나요?	단 세흐트만은 아이오와 주립 대학교에 소속으로 되어 있어요	아이오와_주립_대학교	소속	단_셰흐트만	290	단_셰흐트만' 아이오와_주립_대학교 소속이에요.	단 세흐트만은 아이오와 주립 대학교에 소속으로 되어 있어요	2288	"O,O,O"
'건국대학교'의 총장은(는) 누구인가요?	'건국대학교'의 총장은(는) 송희영(이)에요.	'건국대학교'를 대표하는 학교장은 누구인가요?	송희영이 '건국대학교'의 총장이에요.	송희영	총장	건국대학교	383	'건국대학교'의 총장은(는) 누구인가요?	'건국대학교'를 대표하는 학교장은 누구인가요?	3021	"O,O,O"
'조석_(만화가)'의 유명한 작품은(는) 무엇인가요?	'조석_(만화가)'의 유명한 작품은(는) N의등대-busted(이)에요.	'조석_(만화가)'은 어떤 작품으로 유명한가요?	'조석_(만화가)'은 N의등대-busted로 유명해요.	N의등대-busted	유명한 작품	조석_(만화가)	419	'조석_(만화가)'의 유명한 작품은(는) 무엇인가요?	'조석_(만화가)'은 어떤 작품으로 유명한가요?	3309	"O,O,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 대한민국(이)에요.	강감찬이 태어난 곳은 어디인가요?	강감찬이 태어난 곳은 대한민국이에요.	대한민국	출생지	강감찬	137	'강감찬'의 출생지은(는) 대한민국(이)에요.	강감찬이 태어난 곳은 대한민국이에요.	1076	"O,O,O"
'1996년_하계_올림픽'의 개회선언은(는) 누가 했나요?	1996년_하계_올림픽'의 개회선언은(는) 빌_클린턴이(가) 했어요.	'1996년_하계_올림픽'의 개회를 선언한 사람은 누구인가요?	빌 클린턴이 '1996년_하계_올림픽'의 개회를 선언했어요	빌_클린턴	개회선언	1996년_하계_올림픽	145	1996년_하계_올림픽'의 개회선언은(는) 빌_클린턴이(가) 했어요.	빌 클린턴이 '1996년_하계_올림픽'의 개회를 선언했어요	1134	"O,O,O"
'드네프르_강'의 길이은(는) 얼마인가요?	'드네프르_강'의 길이은(는) 2290km(이)에요.	드네프르 강의 길이는 어떤가요?	2290km는 드네프르 강의 깅이예요.	2290km	길이	드네프르_강	247	'드네프르_강'의 길이은(는) 얼마인가요?	드네프르 강의 길이는 어떤가요?	1951	"X,A,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 양광도(이)에요.	강감찬의 고향은 어디인가요?	강감찬의 고향은 양광도에요.	양광도	출생지	강감찬	139	강감찬'의 출생지은(는) 어디인가요?	강감찬의 고향은 어디인가요?	1091	"X,A,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 잠들지 않는 도시(이)에요.	뉴욕의 다른 이름은 무엇인가요?	뉴욕의 다른 이름은 잠들지 않는 도시에요.	잠들지 않는 도시	별명	뉴욕	220	'뉴욕'의 별명은(는) 무엇인가요?	뉴욕의 다른 이름은 무엇인가요?	1729	"O,O,O"
'이희우'의 종교은(는) 무엇인가요?	'이희우'의 종교은(는) 개신교(이)에요.	이희우가 믿는 신앙은 무엇인가요?	이희우는 개신교를 믿고 있어요.	개신교	종교	이희우	437	'이희우'의 종교은(는) 무엇인가요?	이희우가 믿는 신앙은 무엇인가요?	3453	"O,O,O"
'각설이_품바_타령'의 등급은(는) 무엇인가요?	각설이_품바_타령'의 등급은(는) 12세 이용가(이)에요.	각설이 품바 타령은 몇세부터 이용가능한가요?	각설이 품바 타령은 12살부터 이용가능해요	12세 이용가	등급	각설이_품바_타령	38	'각설이_품바_타령'의 등급은(는) 무엇인가요?	각설이 품바 타령은 몇세부터 이용가능한가요?	301	"O,O,O"
'2016년_하계_올림픽'의 모토은(는) 무엇인가요?	'2016년_하계_올림픽'의 모토은(는) 새로운 세계(이)에요.	'2016년 하계 올림픽'의 표어는 무엇인가요?	'2016년 하계 올림픽'이 모토로 삼는 것은 새로운 세계예요	새로운 세계	모토	2016년_하계_올림픽	167	'2016년_하계_올림픽'의 모토은(는) 새로운 세계(이)에요.	'2016년 하계 올림픽'이 모토로 삼는 것은 새로운 세계예요	1310	"O,O,O"
'2012년_하계_올림픽'의 모토은(는) 무엇인가요?	'2012년_하계_올림픽'의 모토은(는) 세대에게 영감을(이)에요.	'2012년_하계_올림픽'의 신조는 무엇인가요?	'2012년_하계_올림픽'이 내세웠던 대표적 신조는 세대에게 영감을(이)에요.	세대에게 영감을	모토	2012년_하계_올림픽	169	'2012년_하계_올림픽'의 모토은(는) 세대에게 영감을(이)에요.	'2012년_하계_올림픽'이 내세웠던 대표적 신조는 세대에게 영감을(이)에요.	1326	"O,X,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 잠들지 않는 도시(이)에요.	뉴욕의 다른 이름은 무엇인가요?	뉴욕의 다른 이름은 잠들지 않는 도시에요.	잠들지 않는 도시	별명	뉴욕	220	'뉴욕'의 별명은(는) 잠들지 않는 도시(이)에요.	뉴욕의 다른 이름은 잠들지 않는 도시에요.	1730	"O,O,O"
'그리고리_마르굴리스'은(는) 수상내역(으)로 무엇이 있나요?	그리고리_마르굴리스'은(는) 수상내역(으)로 필즈상이 있어요.	그리고리 마리굴리스가 받은 상은 무엇이 있나요?	그리고리 마리굴리스가 받은 상은 필즈상이에요.	필즈상	수상내역	그리고리_마르굴리스	298	그리고리_마르굴리스'은(는) 수상내역(으)로 필즈상이 있어요.	그리고리 마리굴리스가 받은 상은 필즈상이에요.	2356	"O,O,O"
'로버트_고더드'의 직업은(는) 무엇인가요?	'로버트_고더드'의 직업은(는) 공학자(이)에요.	로버트 고더드가 하는 일은 무엇인가요?	로버트 고더드는 공학자의 길을 걷고 있어요.	공학자	직업	로버트_고더드	318	'로버트_고더드'의 직업은(는) 무엇인가요?	로버트 고더드가 하는 일은 무엇인가요?	2511	"O,O,O"
'권동진'의 직업은(는) 무엇인가요?	'권동진'의 직업은(는) 종교인(이)에요.	권동진은 어떤 직업을 가지고 있나요?	권동진은 종교인이라는 직업을 가지고 있어요.	종교인	직업	권동진	108	'권동진'의 직업은(는) 종교인(이)에요.	권동진은 종교인이라는 직업을 가지고 있어요.	858	"O,O,O"
'가이_칼튼'은(는) 기타이력(으)로 무엇이 있나요?	가이_칼튼'은(는) 기타이력(으)로 퀘벡 주지사이(가) 있어요.	가이 칼튼의 기타이력은 무엇인가요?	가이 칼튼의 기타이력은 퀘벡 주지사에요.	퀘벡 주지사	기타이력	가이_칼튼	61	가이_칼튼'은(는) 기타이력(으)로 퀘벡 주지사이(가) 있어요.	가이 칼튼의 기타이력은 퀘벡 주지사에요.	482	"O,A,O"
'게릿_버슈'의 연구분야은(는) 무엇인가요?	'게릿_버슈'의 연구분야은(는) 전파천문학(이)에요.	게릿 버슈의 전공분야의 무엇인가요?	게릿 버슈는 전파 천문학 전공이에요.	전파천문학	연구분야	게릿_버슈	302	'게릿_버슈'의 연구분야은(는) 무엇인가요?	게릿 버슈의 전공분야의 무엇인가요?	2387	"O,X,A"
개똥이'은(는) 어느 나라 영화인가요?	개똥이'은(는) 대한민국의 영화예요.	개똥이 영화는 어느나라거예요.	개똥이 영화는 대한민국거예요.	대한민국	국가	개똥이	29	개똥이'은(는) 어느 나라 영화인가요?	개똥이 영화는 어느나라거예요.	231	"O,O,O"
'2006년_동계_올림픽'의 모토은(는) 무엇인가요?	'2006년_동계_올림픽'의 모토은(는) 열정이 살아 숨쉬는 이곳(이)에요.	2006년_동계_올림픽은 어떤 모토를 가지고 있나요?	2006년_동계_올림픽은 열정이 살아 숨쉬는 이곳이라는 모토를 가지고 있어요.	열정이 살아 숨쉬는 이곳	모토	2006년_동계_올림픽	170	'2006년_동계_올림픽'의 모토은(는) 열정이 살아 숨쉬는 이곳(이)에요.	2006년_동계_올림픽은 열정이 살아 숨쉬는 이곳이라는 모토를 가지고 있어요.	1340	"O,O,O"
'드네프르_강'의 발원지은(는) 어디인가요?	'드네프르_강'의 발원지은(는) 빙하(이)에요.	드네프르 강이 시작하는 곳은 어디인가요?	빙하는 드네프르 강이 시작되는 곳이예요.	빙하	발원지	드네프르_강	268	'드네프르_강'의 발원지은(는) 빙하(이)에요.	빙하는 드네프르 강이 시작되는 곳이예요.	2120	"O,O,O"
'건국대학교'의 마스코트은(는) 무엇인가요?	"'건국대학교'의 마스코트은(는) 동물:소, 캐릭터: 건우와 건희(이)에요."	건국대학교의 가장 유명한 동물과 캐릭터는 무엇인가요?	건국대학교의 가장 유명한 동물과 캐릭터는 소와 건우와 건희에요.	"동물:소, 캐릭터: 건우와 건희"	마스코트	건국대학교	370	"'건국대학교'의 마스코트은(는) 동물:소, 캐릭터: 건우와 건희(이)에요."	건국대학교의 가장 유명한 동물과 캐릭터는 소와 건우와 건희에요.	2924	"A,O,O"
'강감찬'은(는) 기타이력(으)로 무엇이 있나요?	강감찬'은(는) 기타이력(으)로 추충협모 안국공신이(가) 있어요.	무엇이 강감찬 기타이력인가요?	추중협모 안국공신은 강감찬의 기타이력이예요.	추충협모 안국공신	기타이력	강감찬	62	강감찬'은(는) 기타이력(으)로 추충협모 안국공신이(가) 있어요.	추중협모 안국공신은 강감찬의 기타이력이예요.	492	"O,O,O"
남홍길'은(는) 어디 소속인가요?	남홍길' 대구경북과학기술원 소속이에요.	남홍길은 어디서 근무하나요?	남홍길은 DGIST에서 일해요.	대구경북과학기술원	소속	남홍길	287	남홍길' 대구경북과학기술원 소속이에요.	남홍길은 DGIST에서 일해요.	2266	"O,A,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 세계의 수도(이)에요.	뉴욕은 어떤 다른 이름을 가졌나요?	세계의 수도가 뉴욕의 별명이에요.	세계의 수도	별명	뉴욕	219	'뉴욕'의 별명은(는) 세계의 수도(이)에요.	세계의 수도가 뉴욕의 별명이에요.	1728	"O,O,O"
'나이아가라온더레이크'의 면적은(는) 얼마나 되나요?	'나이아가라온더레이크'의 면적은(는) 132.83km^2(이)에요.	'나이아가라온더레이크'의 면적은 몇 km^2인가요?	'나이아가라온더레이크'는 132.83km^2의 면적을 가지고 있어요.	132.83km^2	면적	나이아가라온더레이크	202	'나이아가라온더레이크'의 면적은(는) 132.83km^2(이)에요.	'나이아가라온더레이크'는 132.83km^2의 면적을 가지고 있어요.	1592	"O,O,O"
'니즈냐야퉁구스카_강'의 길이은(는) 얼마인가요?	'니즈냐야퉁구스카_강'의 길이은(는) 2989km(이)에요.	니즈냐야퉁구스가 강은 얼마나 긴가요?	니즈냐야퉁구스가 강은 2989km의 길이에요.	2989km	길이	니즈냐야퉁구스카_강	244	'니즈냐야퉁구스카_강'의 길이은(는) 2989km(이)에요.	니즈냐야퉁구스가 강은 2989km의 길이에요.	1928	"O,O,O"
